skill,frequency
MachineLearning,97
Python,88
DataMining,72
R,69
Hadoop,56
SQL,38
Java,26
Matlab,22
SAS,19
BigData,18
Scala,17
Algorithms,15
Linux,15
ApacheSpark,14
PredictiveAnalytics,10
SPARK,9
Statistics,9
C++,8
DataModeling,8
DataScience,8
DataScientist,8
Mapreduce,7
NoSQL,7
StatisticalAnalysis,7
StatisticalModeling,7
AWS,6
BigDataanalytics,6
DataAnalysis,6
NaturalLanguageProcessing,6
PredictiveModeling,6
DataVisualization,5
DeepLearning,5
C/C++,4
Hive,4
Tableau,4
AlgorithmDevelopment,3
AppliedMathematics,3
BayesianInference,3
BigDataStatistics,3
ComputerVision,3
Elasticsearch,3
Excel,3
Git,3
HDFS,3
MachineLearningalgorithms,3
MobileAdvertising,3
MySQL,3
NLP,3
Pandas&NumPy,3
Rprogramming,3
SPSS,3
Agile,2
AI,2
Appliedstatistics,2
Bioinformatics,2
ClinicalData,2
ComplexQuantitativeAnalysis,2
ConsumerSegmentationReporting,2
ContextExtraction,2
DataAnalytics,2
DataManipulation,2
Datasets,2
Datastructures,2
DataWarehousing,2
ETL,2
ExcelPivotTables&Macros,2
ExpwithClickstreamdata(rawwebanalytics),2
ExperimentalDesign,2
Geo-SpatialAnalyst,2
Healthcare/biomedicalindustry,2
HiveQL,2
LargeDataSets,2
Mahout,2
Map/Reduce,2
Mongodb,2
OOP,2
Perl,2
PHP,2
PostgreSQL,2
PredictiveAnalysis,2
PredictiveAnalystics,2
ProductAnalystexperience,2
Programming,2
Python/R,2
Python/R/Matlab,2
R/Python,2
RecommendationEngines,2
Regressionanalysis,2
SAS/SPSS,2
scikit.learn,2
Scripting,2
SQLandRelationalDatabases,2
SQLServer,2
StartUpExperience,2
StatisticalMethods,2
Statisticaltechniques,2
StrongEconometricmindset,2
StrongMath/Physicsbackground,2
Unix,2
Unix/Linux,2
VBA,2
VirtualEnvironments,2
